Oxymax PARAMETER File 

CSV FILE CREATION:11/01/2023 13:36:35
EXPERIMENT START:25/01/2022 21:59:56
DATA FILENAME:C:\Program Files (x86)\Oxymax\EXP m Run6.12.CDTA

GROUP/CAGE:0101
SUBJECT ID:Mouse m35
SUBJECT MASS:20.79 

GROUP/CAGE:0102
SUBJECT ID:Mouse m36
SUBJECT MASS:22.73 

GROUP/CAGE:0103
SUBJECT ID:Mouse m37
SUBJECT MASS:20.98 

GROUP/CAGE:0104
SUBJECT ID:
SUBJECT MASS:200 

SCAN RATE:90 seconds

PARAMETER:FEED1 (grams)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,
===============,===============,===============,===============,===============,===============,===============,===============,===============,
 117 ,26/01/2022 00:55:37 , 5.999994E-02 ,26/01/2022 00:55:37 , 0 ,26/01/2022 00:55:37 , 0 ,26/01/2022 00:55:37 , 0 ,
 118 ,26/01/2022 00:57:07 , 0 ,26/01/2022 00:57:07 , 0 ,26/01/2022 00:57:07 , 0 ,26/01/2022 00:57:07 , 0 ,
 119 ,26/01/2022 00:58:37 , 0 ,26/01/2022 00:58:37 , 0 ,26/01/2022 00:58:37 , 0 ,26/01/2022 00:58:37 , 0 ,
 120 ,26/01/2022 01:00:07 , 0 ,26/01/2022 01:00:07 , 0 ,26/01/2022 01:00:07 , 0 ,26/01/2022 01:00:07 , 0 ,
 121 ,26/01/2022 01:01:37 , 0 ,26/01/2022 01:01:37 , 9.999752E-03 ,26/01/2022 01:01:37 , 0 ,26/01/2022 01:01:37 , 0 ,
 122 ,26/01/2022 01:03:07 , 0 ,26/01/2022 01:03:07 , 0 ,26/01/2022 01:03:07 , 0 ,26/01/2022 01:03:07 , 0 ,
 123 ,26/01/2022 01:04:37 , 0 ,26/01/2022 01:04:37 , 0 ,26/01/2022 01:04:37 , 0 ,26/01/2022 01:04:37 , 0 ,
 124 ,26/01/2022 01:06:07 , 0 ,26/01/2022 01:06:07 , 0 ,26/01/2022 01:06:07 , 0 ,26/01/2022 01:06:07 , 0 ,
 125 ,26/01/2022 01:07:37 , 0 ,26/01/2022 01:07:37 , 0 ,26/01/2022 01:07:37 , 0 ,26/01/2022 01:07:37 , 0 ,
 126 ,26/01/2022 01:09:07 , 0 ,26/01/2022 01:09:07 , 0 ,26/01/2022 01:09:07 , 0 ,26/01/2022 01:09:07 , 0 ,
 127 ,26/01/2022 01:10:37 , 0 ,26/01/2022 01:10:37 , 0 ,26/01/2022 01:10:37 , 0 ,26/01/2022 01:10:37 , 0 ,
 128 ,26/01/2022 01:12:07 , 0 ,26/01/2022 01:12:07 , 0 ,26/01/2022 01:12:07 , 0 ,26/01/2022 01:12:07 , 0 ,
 129 ,26/01/2022 01:13:37 , 0 ,26/01/2022 01:13:37 , 0 ,26/01/2022 01:13:37 , 0 ,26/01/2022 01:13:37 , 0 ,
 130 ,26/01/2022 01:15:07 , 0 ,26/01/2022 01:15:07 , 0 ,26/01/2022 01:15:07 , 0 ,26/01/2022 01:15:07 , 0 ,
 131 ,26/01/2022 01:16:37 , 0 ,26/01/2022 01:16:37 , 0 ,26/01/2022 01:16:37 , 0 ,26/01/2022 01:16:37 , 0 ,
 132 ,26/01/2022 01:18:07 , 9.99999E-03 ,26/01/2022 01:18:07 , 0 ,26/01/2022 01:18:07 , 0 ,26/01/2022 01:18:07 , 0 ,
 133 ,26/01/2022 01:19:37 , 7.000017E-02 ,26/01/2022 01:19:37 , 0 ,26/01/2022 01:19:37 , 0 ,26/01/2022 01:19:37 , 0 ,
 134 ,26/01/2022 01:21:07 , 0 ,26/01/2022 01:21:07 , 0 ,26/01/2022 01:21:07 , 0 ,26/01/2022 01:21:07 , 0 ,
 135 ,26/01/2022 01:22:37 , 0 ,26/01/2022 01:22:37 , 0 ,26/01/2022 01:22:37 , 0 ,26/01/2022 01:22:37 , 0 ,
 136 ,26/01/2022 01:24:07 , 0 ,26/01/2022 01:24:07 , 0 ,26/01/2022 01:24:07 , 0 ,26/01/2022 01:24:07 , 0 ,
 137 ,26/01/2022 01:25:37 , 0 ,26/01/2022 01:25:37 , 0 ,26/01/2022 01:25:37 , 0 ,26/01/2022 01:25:37 , 0 ,
 138 ,26/01/2022 01:27:07 , 9.99999E-03 ,26/01/2022 01:27:07 , 0 ,26/01/2022 01:27:07 , 0 ,26/01/2022 01:27:07 , 0 ,
 139 ,26/01/2022 01:28:37 , 9.99999E-03 ,26/01/2022 01:28:37 , 0 ,26/01/2022 01:28:37 , 0 ,26/01/2022 01:28:37 , 0 ,
 140 ,26/01/2022 01:30:07 , 0 ,26/01/2022 01:30:07 , 0 ,26/01/2022 01:30:07 , 0 ,26/01/2022 01:30:07 , 0 ,
 141 ,26/01/2022 01:31:37 , 0 ,26/01/2022 01:31:37 , 0 ,26/01/2022 01:31:37 , 0 ,26/01/2022 01:31:37 , 0 ,
 142 ,26/01/2022 01:33:07 , 0 ,26/01/2022 01:33:07 , 0 ,26/01/2022 01:33:07 , 0 ,26/01/2022 01:33:07 , 0 ,
 143 ,26/01/2022 01:34:37 , 0 ,26/01/2022 01:34:37 , 0 ,26/01/2022 01:34:37 , 0 ,26/01/2022 01:34:37 , 0 ,
 144 ,26/01/2022 01:36:07 , 0 ,26/01/2022 01:36:07 , 0 ,26/01/2022 01:36:07 , 0 ,26/01/2022 01:36:07 , 0 ,
 145 ,26/01/2022 01:37:37 , 9.99999E-03 ,26/01/2022 01:37:37 , 0 ,26/01/2022 01:37:37 , 0 ,26/01/2022 01:37:37 , 0 ,
 146 ,26/01/2022 01:39:07 , 0 ,26/01/2022 01:39:07 , 0 ,26/01/2022 01:39:07 , 0 ,26/01/2022 01:39:07 , 0 ,
